trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-30.409247592129443,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-172.44087286594058,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,10,-22.592433524102347,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-168.65939583227453,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-116.2756068015005,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-64.97836978312883,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-28.586425937665695,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-122.96142547019272,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-105.4018297746918,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-144.48658694249792,"{0: 12, 1: 1, 2: 9, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-145.79505304152462,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-44.12003056468298,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-105.63133138919453,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-2.312704677190575,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-108.7373039408535,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-107.01332018473549,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-51.62223578195957,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-78.7201140996454,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-55.43026574814797,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-55.082806061542875,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-74.78648915156838,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-56.29843531447985,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-168.37610869472564,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,8,-51.545191144206726,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-184.79325168701124,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,8,-6.066188983525957,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,15,9.987062734250618,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-15.244252294564994,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-5.674237025984913,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-44.71014614007472,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-156.51769840122566,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-179.85969491633813,"{0: 18, 1: 7, 2: 1, 3: 0, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,2,-63.71844236251314,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,13,-134.1619351116658,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,3,-47.64544600017252,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,0,-36.24712824232585,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-79.87823624491257,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,8,-55.20426776008434,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-86.31231642954639,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-126.60172307389043,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-27.971435728385252,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,11,-82.54476450908606,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-183.17604827331357,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-149.34851760454742,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-107.23487883547598,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-39.07214850539266,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,11,0.1977880948282531,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,16,-42.44805453836482,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,6,10.47655272582148,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,4,9.351700400746967,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,17,2.4656534103251273,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,19.970870283406512,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",35,18,-42.23232683691032,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-28.713202078280673,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,5,-6.72492242128632,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-120.52543490120452,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-48.530737895593134,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,11,-14.48633719546323,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,4,30.7781313988865,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",35,13,-53.19666433242749,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-51.04501092437664,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-168.20559204279763,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,11,24.101009676100162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-94.60454360071316,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-7.904484331958748,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-7.9136292024467325,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",35,0,-32.880787241647376,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,6,-24.84312739434721,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,3,-56.861985703880094,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,9,18.585056268245825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,8,-23.317511977951458,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,10.81269728221946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,19,2.728373916667336,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,14,17.73080064331034,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,12,-21.457284848041617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,0,-50.451761029293365,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,9,30.206238920674974,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,9,-5.69771940018907,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,11,9.890804594859434,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,13,18.064708541643306,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,11,21.589460682639633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,38.83174609759476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,8,-44.6032653890295,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,15,7.020061029851432,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,-12.057177630083736,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,8,-30.729221458755582,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,3,17.3604535793052,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,12,-7.991680854738818,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,0,6.189071900935436,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",20,6,21.63437552690286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",30,17,9.508621791285247,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,16,10.107601613821497,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,3,16.9187804845153,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",20,12,3.749632463178343,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",20,11,16.05843011843046,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,10,18.48709617645659,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,10,17.975185807907636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,15,8.904419855287022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,15,30.320925084095315,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,21,16.447278204953708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,16,17.49013477004814,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,2,30.52009554538705,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,20,20.438168477354093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,9.017183762934152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,16,5.291889614929929,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
