trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-135.87120567602415,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9999902499590776}",30,0,-172.93268301257123,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.9999610000264372}",20,0,-95.31031082225925,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9999122507724546}",25,0,-125.55317549549633,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.9998440031477445}",30,0,-233.32094335536948,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.9997562584831409}",25,0,-142.51004376246726,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9996490184896721}",25,0,-118.46065607133863,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9995222852585269}",30,0,-229.84775975288932,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.7, 'e': 0.9993760612610135}",30,0,-134.9478822960985,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.9992103493485118}",20,0,-23.871516751223837,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.9990251527524177}",20,0,-121.01206406339728,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.99882047508408}",30,0,-131.2511063786106,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.9985963203347299}",20,10,-19.710790092554202,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.9983526928754035}",25,0,-100.01609284351254,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.9980895974568561}",25,7,-16.92801054233251,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.9978070392094699}",30,0,-57.96080179408659,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.997505023643154}",25,0,-197.43709190108476,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.7, 'e': 0.9971835566472363}",25,0,-96.5422870177174,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.9968426444903499}",25,0,-130.51133611167097,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.9964822938203096}",30,0,-153.45414870075518,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.7, 'e': 0.996102511663983}",30,0,-125.20269596028733,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.9957033054271531}",30,0,-95.72783517583835,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.9952846828943744}",20,0,-84.54561414859413,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.9948466522288205}",25,0,-112.0033370984216,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.9943892219721251}",20,0,-27.315087365846846,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.9939124010442157}",25,8,-132.11488008625312,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 2}",1
27,False,"{'a': 0.7, 'e': 0.9934161987431396}",25,0,-47.01106411333475,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.9929006247448819}",20,0,-113.55987938738356,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.9923656891031782}",20,0,-95.14405586344301,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.991811402249317}",25,0,-113.33749714199473,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.9912377749919373}",30,0,-115.06876090251318,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.9906448185168178}",20,0,-123.8181579910071,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",1
33,False,"{'a': 0.7, 'e': 0.9900325443866581}",20,0,-160.48268719795303,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.7, 'e': 0.989400964540854}",20,0,-95.54783977348409,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.988750091295264}",25,0,-143.0866745948178,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.7, 'e': 0.9880799373419699}",30,0,-157.06434697029775,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.9873905157490284}",25,12,-93.32243940141514,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
38,False,"{'a': 0.7, 'e': 0.986681839960217}",30,0,-199.13991600131104,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
39,False,"{'a': 0.7, 'e': 0.9859539237947718}",25,0,-190.79202385289594,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 2}",0
40,False,"{'a': 0.7, 'e': 0.9852067814471174}",25,0,-173.08456693330317,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 0.7, 'e': 0.9844404274865908}",25,0,-15.115432600488326,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.9836548768571569}",35,9,-206.46601417561237,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 4}",1
43,False,"{'a': 0.7, 'e': 0.9828501448771174}",20,0,-131.4499061301484,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.7, 'e': 0.9820262472388116}",20,0,-66.7640471639235,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.981183200008311}",25,0,-184.34100394904672,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
46,False,"{'a': 0.7, 'e': 0.9803210196251056}",20,0,-185.8663168261601,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
47,False,"{'a': 0.7, 'e': 0.9794397229017835}",20,0,-43.768801383985334,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.9785393270237027}",20,0,-95.99259955404169,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.9776198495486567}",25,8,-96.19072448112595,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.7, 'e': 0.9766813084065314}",25,0,-19.217935068378686,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
