trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-228.5266099335099,"{0: 19, 1: 4, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.2546628120613,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.56524404569325,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.19441201693613,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.04562841488476,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.07707157214658,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.77923862053407,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-271.58126805575483,"{0: 19, 1: 4, 2: 5, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.63715687259217,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.60421239797847,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.70102035600323,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.20316532982298,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.68596522533024,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.89541436938404,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.41521984414854,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.31835618896355,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.84416742140684,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.67552862770933,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.79864491252471,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.9147014948001,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.5234420287348,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-166.1702962767462,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.3427258988651,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,-165.72163869189285,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-121.95832293630242,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.57883374271673,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-41.82328018227748,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-134.6439189456058,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,9,-38.82966184260448,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-184.55281980099596,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
